Name,Brand,Rating,ReviewCount,ImageURL,Tags
Essence Mascara Lash Princess Black Pro,Essence Pro Edition,5.0,1732,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp,beauty essence pro edition essence mascara lash princess black pro
Essence Mascara Lash Princess Silver Ultra,Essence Ultra Max,3.8,2025,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/1.webp,beauty essence ultra max essence mascara lash princess silver ultra
Eyeshadow Palette with Mirror Black Pro,Glamour Beauty Pro Edition,4.3,3400,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp,beauty glamour beauty pro edition eyeshadow palette with mirror black pro
Eyeshadow Palette with Mirror Silver Ultra,Glamour Beauty Ultra Max,4.9,3628,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/1.webp,beauty glamour beauty ultra max eyeshadow palette with mirror silver ultra
Powder Canister Black Pro,Velvet Touch Pro Edition,3.7,3661,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp,beauty velvet touch pro edition powder canister black pro
Powder Canister Silver Ultra,Velvet Touch Ultra Max,4.3,3354,https://cdn.dummyjson.com/product-images/beauty/powder-canister/1.webp,beauty velvet touch ultra max powder canister silver ultra
Red Lipstick Black Pro,Chic Cosmetics Pro Edition,5.0,2127,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp,beauty chic cosmetics pro edition red lipstick black pro
Red Lipstick Silver Ultra,Chic Cosmetics Ultra Max,4.1,2139,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/1.webp,beauty chic cosmetics ultra max red lipstick silver ultra
Red Nail Polish Black Pro,Nail Couture Pro Edition,3.7,2074,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp,beauty nail couture pro edition red nail polish black pro
Red Nail Polish Silver Ultra,Nail Couture Ultra Max,4.1,1545,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/1.webp,beauty nail couture ultra max red nail polish silver ultra
Calvin Klein CK One Black Pro,Calvin Klein Pro Edition,4.1,2111,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp,fragrances calvin klein pro edition calvin klein ck one black pro
Calvin Klein CK One Silver Ultra,Calvin Klein Ultra Max,3.8,2445,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp,fragrances calvin klein ultra max calvin klein ck one silver ultra
Calvin Klein CK One White Lite,Calvin Klein Lite Plus,4.1,4541,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/2.webp,fragrances calvin klein lite plus calvin klein ck one white lite
Calvin Klein CK One Model 2026,Calvin Klein Pro Edition,4.0,3821,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/3.webp,fragrances calvin klein pro edition calvin klein ck one model 2026
Chanel Coco Noir Eau De Black Pro,Chanel Pro Edition,4.0,3536,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp,fragrances chanel pro edition chanel coco noir eau de black pro
Chanel Coco Noir Eau De Silver Ultra,Chanel Ultra Max,3.7,259,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/1.webp,fragrances chanel ultra max chanel coco noir eau de silver ultra
Chanel Coco Noir Eau De White Lite,Chanel Lite Plus,3.6,475,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/2.webp,fragrances chanel lite plus chanel coco noir eau de white lite
Chanel Coco Noir Eau De Model 2026,Chanel Pro Edition,3.6,4636,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/3.webp,fragrances chanel pro edition chanel coco noir eau de model 2026
Dior J'adore Black Pro,Dior Pro Edition,5.0,4237,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp,fragrances dior pro edition dior j'adore black pro
Dior J'adore Silver Ultra,Dior Ultra Max,4.6,1836,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp,fragrances dior ultra max dior j'adore silver ultra
